algo,run,env_step,explained_variance,mean_episode_reward,steps_per_sec,entropy,ghi_chu
PPO,ppo_v1,21504,,3221.213496717829,11.635445344115187,-1.6640135422348976,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,22528,,2726.3398932294654,11.920311618801774,-1.663528349995613,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,23552,,2602.448287093719,11.821758063222914,-1.6637955158948898,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,24576,,2724.0337274264125,11.644279564889624,-1.6641122311353684,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,25600,,2661.2483233036714,11.829052697982759,-1.664737756550312,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,26624,,3065.297019767738,11.939996310665947,-1.6655722230672836,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,27648,,2702.852856466367,11.720393745464538,-1.6660269126296043,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,28672,,2952.884806340645,11.736862843733554,-1.6661200940608978,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,29696,,3248.28128707655,11.932928695151539,-1.6672061264514924,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,30720,,3521.536904545931,11.810014439454308,-1.6681528583168983,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,31744,,3378.849294471089,11.635902044779225,-1.6682744860649108,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,32768,,3201.811835599283,13.257250896380643,-1.6681236010044813,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,33792,,2928.722761898695,11.575145710701154,-1.667699544131756,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,34816,,3373.329596741455,11.884727558587773,-1.667363713681698,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,35840,,3482.7555092037014,11.879109308720436,-1.668729653954506,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,36864,,3565.4365385086435,11.99421141265809,-1.6705736458301543,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,37888,,3581.7762944263072,11.731242886958,-1.67107285708189,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,38912,,3739.1331957846037,11.779556970368676,-1.6720471873879432,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,39936,,3403.4015148784383,11.770556792683838,-1.6729560956358909,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,40960,,3681.135163778867,11.685314728160943,-1.673250350356102,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,41984,,3661.3373169810584,11.530260638385379,-1.6731615275144578,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,43008,,3345.038808500027,11.63551119279275,-1.6738299176096916,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,44032,,3304.4015545503366,11.351767556614842,-1.6746962159872054,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,45056,,2688.816846727156,10.974062568571645,-1.6758415594696998,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,46080,,2823.96258224879,11.664401653462573,-1.6771939173340797,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,47104,,3348.9485523761805,11.884236713894264,-1.6782060012221336,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,48128,,3466.4934796761854,11.83860205899913,-1.6792356237769126,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,49152,,3685.021766890978,11.905295164409539,-1.680360123515129,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,50176,,3542.2347826250516,11.821154105063123,-1.6796354711055757,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,51200,,3615.3283577818156,11.791685870742437,-1.6791903421282768,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,52224,,3627.8066734133,11.837334938820742,-1.6793634012341498,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,53248,,3841.559657032488,11.760717312503548,-1.6794112384319306,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,54272,,3469.9619703933554,11.856738948428223,-1.6802111834287643,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,55296,,3675.154356725706,11.805517377907503,-1.6814903065562248,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,56320,,3385.4646533576124,11.888873139664376,-1.6818857491016388,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,57344,,3187.8458666366932,11.559801848361525,-1.6820189669728278,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,58368,,3522.241553959206,11.8700975167028,-1.6821041509509087,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,59392,,3525.450056450365,11.763140410473186,-1.6827937096357346,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,60416,,3715.5200838365863,11.988408652965978,-1.6830275014042855,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,61440,,4001.3297043834564,11.936386286034356,-1.683061583340168,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,62464,,3878.648094593757,11.8770971196797,-1.683079719543457,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,63488,,3710.450775786984,11.941992681540823,-1.6838793396949767,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,64512,,4108.643354157316,11.854305441585224,-1.6842146709561348,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,65536,,4108.371012635767,11.935019910376905,-1.6840576171875,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,66560,,3856.5029710931276,11.907147209334344,-1.6847942978143693,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,67584,,4182.541518330526,11.800805556322057,-1.6855123832821846,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,68608,,4079.6398981039188,11.623767599262399,-1.6871267035603523,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,69632,,3670.188150009948,11.54098347969127,-1.6876410514116287,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,70656,,3421.7609155769196,11.680317633522542,-1.6873652756214141,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,71680,,3236.131474619505,11.819914560548716,-1.6878188878297806,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,72704,,3030.8813778415138,11.79070590406648,-1.6883482962846756,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,73728,,2870.2946567298964,11.831222380186695,-1.6893472999334336,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,74752,,2922.3341542498874,11.676134786422471,-1.6893841937184333,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,75776,,3185.9653587147786,11.787375338911577,-1.6899469837546348,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,76800,,3596.03845977328,11.803609873141035,-1.6901168942451477,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,77824,,3496.3111620483833,17.50974557664889,-1.6903109401464462,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,78848,,3920.2003856977003,11.842986458736469,-1.6908542945981027,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,79872,,4447.338906943608,11.78832844714606,-1.691921980679035,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,80896,,4420.975467611738,11.648317166602595,-1.6923866763710975,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,81920,,4171.672065172126,11.682185113033631,-1.6919826477766038,"reward raw, penalty 300, chi Town04"
