algo,run,env_step,town,terminate_reason,episode_len,episode_reward,mean_abs_lane_offset_road,junction_steps,ghi_chu
PPO,ppo_v1,20480,,collision,300,-157.2847942833216,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,20480,,collision,154,529.5228516255133,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,20480,,time_limit,500,4607.613432491922,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,20480,,collision,60,-9.066580552111134,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,21504,,time_limit,500,6234.396286015571,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,21504,,collision,376,3573.224369950107,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,21504,,collision,71,82.9856376707238,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,22528,,time_limit,500,5396.273634221842,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,22528,,collision,145,719.9520980810923,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,22528,,collision,100,193.95663964414388,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,22528,,collision,92,277.1385110426088,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,22528,,collision,378,2491.276083233226,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,23552,,time_limit,500,5088.055955485276,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,23552,,collision,157,-24.919621777755196,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,24576,,time_limit,500,5079.61444943849,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,24576,,collision,403,4250.261736850775,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,24576,,time_limit,500,5092.092763046728,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,25600,,collision,318,2628.7503805718143,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,25600,,collision,295,2043.6736928425407,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,25600,,time_limit,500,5127.448940474245,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,26624,,collision,317,2514.608108979899,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,26624,,time_limit,500,5938.603877643624,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,27648,,time_limit,500,5739.759913066999,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,27648,,collision,108,437.96110929934633,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,27648,,collision,117,250.0826810820987,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,27648,,collision,156,729.4805384296185,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,28672,,time_limit,500,4949.45687531474,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,28672,,time_limit,500,5530.4413940633785,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,29696,,time_limit,500,5270.55867870956,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,29696,,time_limit,500,3614.5464696876033,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,29696,,collision,58,-57.048964053811176,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,29696,,collision,192,762.1967623758391,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,30720,,collision,447,4194.9101169656615,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,30720,,time_limit,500,6333.338566129472,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,31744,,time_limit,500,4862.330238079315,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,31744,,off_lane,84,364.13193300451775,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,31744,,time_limit,500,6341.754576755322,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,32768,,collision,232,598.8490604908361,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,32768,,collision,380,2157.103542517195,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,32768,,time_limit,500,5764.718920226166,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,32768,,collision,95,253.06042219816794,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,33792,,collision,117,362.59490867113624,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,33792,,collision,194,1066.0877789206234,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,33792,,time_limit,500,5225.860738406463,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,34816,,time_limit,500,5080.827349820733,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,34816,,time_limit,500,4790.872566546189,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,35840,,time_limit,500,6293.072769453871,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,35840,,time_limit,500,6375.3437491691675,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,36864,,collision,339,3855.502362678778,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,36864,,time_limit,500,6101.395061742731,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,36864,,collision,112,524.7793460206851,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,37888,,time_limit,500,5728.394995587742,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,37888,,collision,199,601.1704845861917,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,37888,,time_limit,500,5287.675083650302,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,38912,,time_limit,500,3316.813261778388,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,38912,,time_limit,500,5056.786936471388,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,39936,,time_limit,500,6557.450463705781,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,39936,,collision,180,883.6631409013546,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,39936,,collision,443,864.4263931203571,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,39936,,collision,37,-157.74751586127314,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,40960,,time_limit,500,5881.801821605458,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,40960,,collision,97,288.5264872724123,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,41984,,time_limit,500,4910.063824167307,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,41984,,collision,149,566.6992306941496,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,41984,,time_limit,500,5500.055876330179,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,43008,,time_limit,500,5538.819623136767,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,43008,,time_limit,500,5677.197201766548,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,43008,,collision,49,-82.69790935470726,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,44032,,time_limit,500,3208.0486478315293,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,44032,,collision,77,202.23594628628757,,,"reward raw, penalty 300, chi Town04"
