loai,nhan,lan_chay,chuoi,env_step,ham_reward,ban_do,do_dai,reward,lech_lan_m,junction_steps,ket_thuc,va_cham_pct,n,policy_loss,value_loss,entropy,explained_variance,approx_kl,clip_fraction,steps_per_sec,ghi_chu
episode,ppo_v1,ppo_v1,PPO-A reward tho,10240,raw,,191,1537.7954177785384,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,11264,raw,,500,3425.3214915885205,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,11264,raw,,165,1467.7466817455852,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,11264,raw,,339,817.4743848415108,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,11264,raw,,96,213.04557251684662,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,12288,raw,,500,4994.534333199298,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,12288,raw,,246,1891.2123406905084,,,off_lane,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,13312,raw,,500,3111.7480307226024,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,13312,raw,,500,3015.3006148201894,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,13312,raw,,389,4157.671778857045,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,14336,raw,,392,983.947866022384,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,14336,raw,,275,2782.073415463795,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,14336,raw,,386,2555.4638815679255,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,15360,raw,,500,5335.999247333826,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,15360,raw,,500,5102.046158626097,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,16384,raw,,367,3200.486332998532,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,16384,raw,,500,3455.7087386782114,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,17408,raw,,500,4085.2597177442403,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,17408,raw,,427,4829.584463625403,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,18432,raw,,500,4448.88467755268,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,18432,raw,,366,2711.791001504036,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,18432,raw,,248,2020.4658445366595,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,19456,raw,,500,5937.852218030731,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,19456,raw,,500,3097.2630337760343,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,20480,raw,,300,-157.2847942833216,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,20480,raw,,154,529.5228516255133,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,20480,raw,,500,4607.613432491922,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,20480,raw,,60,-9.066580552111134,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,21504,raw,,500,6234.396286015571,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,21504,raw,,376,3573.224369950107,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,21504,raw,,71,82.9856376707238,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,22528,raw,,500,5396.273634221842,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,22528,raw,,145,719.9520980810923,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,22528,raw,,100,193.95663964414388,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,22528,raw,,92,277.1385110426088,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,22528,raw,,378,2491.276083233226,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,23552,raw,,500,5088.055955485276,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,23552,raw,,157,-24.919621777755196,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,24576,raw,,500,5079.61444943849,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,24576,raw,,403,4250.261736850775,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,24576,raw,,500,5092.092763046728,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,25600,raw,,318,2628.7503805718143,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,25600,raw,,295,2043.6736928425407,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,25600,raw,,500,5127.448940474245,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,26624,raw,,317,2514.608108979899,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,26624,raw,,500,5938.603877643624,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
